atypical	typical
committed	uncommitted
fresh	stale
ambiversive	extroversive
perinatal	prenatal
continued	discontinued
migratory	nonmigratory
corrigible	incorrigible
carvel-built	clinker-built
saddled	unsaddled
sonic	supersonic
meatless	meaty
shapely	unshapely
finished	unfinished
impenitent	penitent
invasive	noninvasive
a_la_carte	table_d'hote
autogenous	heterogenous
prejudiced	unprejudiced
nonresidential	residential
fallible	infallible
waning	waxing
autotrophic	heterotrophic
flexible	inflexible
cosmopolitan	endemic
unwanted	wanted
influential	uninfluential
successful	unsuccessful
timbered	untimbered
broken	unbroken
angry	unangry
crystalline	noncrystalline
harmonious	inharmonious
expected	unexpected
docile	stubborn
cautious	incautious
consecrated	desecrated
few	many
attributive	predicative
weedless	weedy
affixed	unaffixed
explosive	nonexplosive
adnate	connate
precedented	unprecedented
competitive	noncompetitive
gradual	sudden
hatless	hatted
pleasant	unpleasant
moneyed	moneyless
dehiscent	indehiscent
discriminating	undiscriminating
eastern	western
balanced	unbalanced
bivalve	univalve
injured	uninjured
long-spurred	short-spurred
expendable	unexpendable
inhabited	uninhabited
effortful	effortless
kind	unkind
herbivorous	omnivorous
changeable	unchangeable
short	tall
skilled	unskilled
unwholesome	wholesome
unventilated	ventilated
postnuptial	prenuptial
encumbered	unencumbered
saturated	unsaturated
exhausted	unexhausted
mined	unmined
intolerable	tolerable
adiabatic	diabatic
defined	undefined
impressionable	unimpressionable
alcoholic	nonalcoholic
monotheistic	polytheistic
exchangeable	unexchangeable
proved	unproved
atrophied	hypertrophied
arbitrable	nonarbitrable
bivalent	multivalent
cheap	expensive
intelligible	unintelligible
full	thin
lamented	unlamented
explicit	implicit
civil	uncivil
amended	unamended
commutable	incommutable
conspicuous	inconspicuous
multinucleate	uninucleate
flat	sharp
starless	starry
harmonic	nonharmonic
fancy	plain
stemless	stemmed
alterable	unalterable
off	on
handled	handleless
forte	piano
desirous	undesirous
additive	subtractive
ambiguous	unambiguous
inner	outer
eventful	uneventful
intelligent	unintelligent
anadromous	catadromous
rough	smooth
fresh	preserved
obvious	unobvious
dysphoric	euphoric
characteristic	uncharacteristic
no	some
discernible	indiscernible
manageable	unmanageable
drained	undrained
insufficient	sufficient
civilized	noncivilized
numerical	verbal
distal	proximal
lost	saved
monochromatic	polychromatic
ectomorphic	endomorphic
nonrigid	rigid
leaky	tight
intoxicated	sober
impenetrable	penetrable
fissile	nonfissile
unwooded	wooded
taciturn	voluble
insured	uninsured
agnostic	gnostic
adaptable	unadaptable
illegible	legible
potted	unpotted
troubled	untroubled
disinclined	inclined
primary	secondary
busy	idle
legged	legless
swept	unswept
confirmed	unconfirmed
disposable	nondisposable
hardened	soft
damaged	undamaged
humane	inhumane
dying	nascent
starchless	starchy
impolitic	politic
hypotonic	isotonic
merited	unmerited
burdened	unburdened
asleep	awake
nonprescription	prescription
painted	unpainted
matched	mismatched
respectable	unrespectable
glorious	inglorious
nonrandom	random
serviceable	unserviceable
ribbed	ribless
certified	uncertified
bordered	unbordered
complete	incomplete
illicit	licit
hateful	lovable
domestic	foreign
irresistible	resistible
benign	malign
coarse	fine
heterocercal	homocercal
privileged	underprivileged
rhythmical	unrhythmical
sized	unsized
systematic	unsystematic
friendly	unfriendly
alienable	inalienable
closed	open
abactinal	actinal
factory-made	homemade
bipolar	unipolar
christian	unchristian
treated	untreated
catalectic	hypercatalectic
back	front
known	unknown
advisable	inadvisable
open	shut
approachable	unapproachable
tearful	tearless
new	worn
productive	unproductive
dispensable	indispensable
thrifty	wasteful
brainwashed	unbrainwashed
altricial	precocial
restful	restless
ambidextrous	right-handed
injectable	uninjectable
edifying	unedifying
nonreflective	reflective
bottomed	bottomless
gaseous	solid
reliable	unreliable
predictable	unpredictable
gutless	gutsy
heavy-duty	light-duty
aligned	nonaligned
shaded	unshaded
constructive	destructive
surprising	unsurprising
intractable	tractable
oleophilic	oleophobic
coastal	inland
nonspeaking	speaking
ethical	unethical
insecure	secure
cauline	radical
bodied	unbodied
airworthy	unairworthy
calculable	incalculable
nonvolatile	volatile
high-tech	low-tech
certain	uncertain
inshore	offshore
nonpregnant	pregnant
disorganized	organized
sold	unsold
laureled	unlaureled
counterrevolutionary	revolutionary
lubricated	unlubricated
colored	uncolored
institutional	noninstitutional
clear	unclear
perinatal	postnatal
orthodox	unorthodox
parallel	perpendicular
dull	lively
insoluble	soluble
endogenous	exogenous
alive	dead
palatable	unpalatable
shrinkable	unshrinkable
loud	soft
aplacental	placental
anaclinal	cataclinal
anticholinergic	cholinergic
seamed	seamless
equal	unequal
active	inactive
green	ripe
intestate	testate
playable	unplayable
antipyretic	pyretic
insincere	sincere
musical	unmusical
bivalent	univalent
cenobitic	eremitic
punitive	rehabilitative
acyclic	cyclic
applied	theoretical
gracious	ungracious
full-time	part-time
extant	extinct
addicted	unaddicted
asyndetic	syndetic
down	up
analogue	digital
decorous	indecorous
early	middle
maximal	minimal
recoverable	unrecoverable
suspected	unsuspected
high	low
conclusive	inconclusive
